name,first_last_name,second_last_name,sex,dob,family_roll,family_id
Diana,PÌ©rez,Romero,F,6/5/67,Madre,1
Carolina,Camacho,Romero,F,31/03/1971,Madre,2
Maribel,Maldonado,Romero,F,7/8/71,Madre,3
Ersuli,Ledezma,Romero,F,21/11/1972,Madre,4
VerÌ_nica Saloma,Colin,Romero,F,28/05/1973,Madre,5
Adela,GuzmÌÁn,Romero,F,13/12/1973,Madre,6
Susana,Rosales,Romero,F,11/6/74,Madre,7
MarÌ_a de la Luz,SÌÁnchez,Romero,F,2/8/74,Madre,8
Diana,MartÌ_nez,Romero,F,20/04/1975,Madre,9
Elisa,Segura,Romero,F,9/10/77,Madre,10
Nancy,MoysÌ©n,Romero,F,29/12/1977,Madre,11
Diana,RuÌ_z,Romero,F,1/5/78,Madre,12
Adriana,GonzÌÁlez,Romero,F,21/11/1978,Madre,13
MarÌ_a Luisa,Olivos,Romero,F,21/05/1980,Madre,14
Mireya,GuzmÌÁn,Romero,F,22/08/1981,Madre,15
Dolores,Aguilar,Romero,F,2/4/82,Madre,16
Daisy Kenia,HernÌÁndez,Romero,F,9/5/82,Madre,17
Inguer,Resendiz,Romero,F,6/6/83,Madre,18
Elsa,Rosales,Romero,F,6/4/84,Madre,19
Ivonne,RamÌ_rez,Romero,F,14/08/1984,Madre,20
Judith,Romero,Romero,F,6/3/67,Abuela Materna,1
Wendolyne,Loeza,Camacho,F,8/4/97,Hija,2
Elizabeth,Maldonado,HernÌÁndez,F,28/01/1969,Tia,3
Hortensia,LÌ_pez,Rivas,F,3/9/52,Abuela,5
Uriel,Polo,GuzmÌÁn,M,1/3/95,Tio,6
Margarita,SÌÁnchez,SÌÁnchez,F,27/08/1942,Abuela Materna,7
Ma. Del Carmen,RodrÌ_guez,MartÌ_nez,F,18/07/1952,Abuela Materna,8
Zita,Romero,Hurtado,F,2/2/00,Abuela Materna,9
Isac,De la Cruz,Segura,M,10/2/96,Tio,10
Ma. De los Ìngeles,LÌ_pez,SÌÁnchez,F,5/7/50,Abuela Paterna,13
Margarita,GonzÌÁlez,Palomino,F,6/11/52,Abuela Materna,15
Juana,Acevedo,GonzÌÁlez,F,15/04/1961,Abuela Materna,17
Cyntia,MorÌÁn,Herrera,F,25/09/1973,Amiga,18
Antonia,Rosales,Arias,M,17/01/1977,Tio,19
Romelia,Bustamante,XXXX,F,21/11/1962,Abuela Materna,20
Miguel,BenÌ_tez,Flores,M,6/11/89,Padre,1
Juan Carlos,Loeza,JimÌ©nez,M,6/9/71,Padre,2
Arturo,HernÌÁndez,SÌÁnchez,M,9/5/84,Padre,3
Juan,Leal,Aguado,M,27/01/1962,Padre,4
Oziel,MuciÌ±o,GutiÌ©rrez,M,13/11/1972,Padre,5
Vicente,Polo,Trejo,M,13/12/1975,Padre,6
Emmanuel Roberto,Castillo,Gea,M,28/05/1981,Padre,7
Tomas,MejÌ_a,Moctezuma,M,25/07/1972,Padre,8
Mario,Alejandres,Parra,M,5/3/74,Padre,9
MartÌ_n,De la Cruz,Galicia,M,5/9/74,Padre,10
JosÌ© Luis,HernÌÁndez,Acosta,M,28/01/1976,Padre,11
JesÌ¼s Euller,Bello,GonzÌÁlez,M,20/08/1977,Padre,12
IvÌÁn,GonzÌÁlez,Mancilla,M,21/10/1978,Padre,13
IvÌÁn,GutiÌ©rrez,Navarrete,M,24/06/1977,Padre,14
Juan Carlos,Montes de Oca,Morales,M,7/1/81,Padre,15
Esteban,Guadarrama,PÌ©rez,M,3/8/81,Padre,16
Alejandro,HernÌÁndez,PÌ©rez,M,8/6/82,Padre,17
JosÌ© Alberto,GarcÌ_a,GarcÌ_a,M,2/3/76,Padre,18
Florimon,GutiÌ©rrez,Cervantes,M,5/1/83,Padre,19
Fernando,Castillo,Flores,M,6/9/84,Padre,20
SaÌ¼l Alejandro,BenÌ_tez,PÌ©rez,M,22/08/2011,Hijo,1
Dulce MarÌ_a,Loeza,Camacho,F,30/08/2010,Hija,2
Lizmary Natalia,HernÌÁndez,Maldonado,M,5/9/12,Hija,3
AndrÌ©s Leonel,Leal,Ledezma,F,26/09/2011,Hija,4
Alonso Genaro,MuciÌ±o,Colin,M,13/07/1994,Hijo,5
SebastiÌÁn,Polo,GuzmÌÁn,M,29/04/2010,Hijo,6
Samantha,Castillo,Gea,F,7/6/12,Hija,7
Mateo,MejÌ_a,SÌÁnchez,M,14/04/2012,Hijo,8
Abigail,Alejandres,MartÌ_nez,F,11/1/07,Hija,9
Santiago,De la Cruz,Segura,M,4/12/09,Hijo,10
Anne,HernÌÁndez,MoysÌ©n,F,18/06/2010,Hija,11
Jacob,Bello,RuÌ_z,M,7/1/11,Hijo,12
Montserrat,LÌ_pez,GonzÌÁlez,F,30/10/2011,Hija,13
NoÌ© Matoshi,GutiÌ©rrez,Olivos,M,5/12/10,Hijo,14
Carlos Alberto,Montes de Oca,GuzmÌÁn,M,2/3/12,Hijo,15
JesÌ¼s,Guadarrama,Aguilar,M,24/11/2012,Hijo,16
Jonathan Abdiel,HernÌÁndez,Acevedo,M,18/11/2011,Hijo,17
Kendra Ximena,GarcÌ_a,Resendiz,F,25/02/2012,Hija,18
Lesly Gabriela,GutiÌ©rrez,Rosales,F,21/06/2011,Hija,19
Sayuri,Castillo,RamÌ_rez,F,8/5/09,Hija,20
Juan Carlos,Loeza,Camacho,M,7/2/03,Hijo,2
Victor Gerardo,Leal,Ledezma,M,3/6/09,Hijo,4
Ivon,MuciÌ±o,Colin,F,13/12/1999,Hija,5
CÌ©sar,Polo,GuzmÌÁn,M,31/03/1998,Hijo,6
Javier,Alejandres,Parra,M,7/4/11,Hijo,9
Paulina,De la Cruz,Segura,F,30/11/2011,Hija,10
Daniel,LÌ_pez,GonzÌÁlez,M,8/7/08,Hijo,13
Vanessa,GutiÌ©rrez,Rosales,F,5/10/02,Hija,19
Fernando Yael,Castillo,RamÌ_rez,M,14/08/2008,Hijo,20
Wendolyne,Loeza,Camacho,F,4/8/97,Hija,2
Alonso Genaro,MuciÌ±o,Colin,M,18/12/2010,Hijo,5
Uriel,Polo,HernÌÁndez,M,1/3/95,Hijo,6
Alejandro,GutiÌ©rrez,Rosales,M,26/05/2001,Hijo,19
